hhid,own_cattle,herd_preselected,hecon_hh_preselected
67052,no,no,yes
81030,no,no,yes
95020,no,no,yes
95135,no,no,yes
95056,no,no,yes
30020,no,no,yes
95169,no,no,yes
95136,no,no,yes
67077,no,no,yes
77020,no,no,yes
38063,no,no,yes
77061,no,no,yes
80035,no,no,yes
30024,no,no,yes
77045,no,no,yes
9056,no,no,yes
93040,no,no,yes
95058,no,no,yes
95176,no,no,yes
95048,no,no,yes
30093,no,no,yes
93045,no,no,yes
9078,no,no,yes
77134,no,no,yes
80121,no,no,yes
50079,no,no,yes
30096,no,no,yes
77129,no,no,yes
77165,no,no,yes
9101,no,no,yes
80184,no,no,yes
81055,no,no,yes
81090,no,no,yes
9010,no,no,yes
30107,no,no,yes
18007,no,no,yes
77094,no,no,yes
77042,no,no,yes
18023,no,no,yes
95078,no,no,yes
93042,no,no,yes
67015,no,no,yes
77092,no,no,yes
81021,no,no,yes
67053,no,no,yes
95101,no,no,yes
18004,no,no,yes
77172,no,no,yes
72037,no,no,yes
93010,no,no,yes
80031,no,no,yes
15001,no,no,yes
30018,no,no,yes
77183,no,no,yes
80092,no,no,yes
38036,no,no,yes
15048,no,no,yes
9109,no,no,yes
9020,no,no,yes
9047,no,no,yes
38043,no,no,yes
38056,no,no,yes
30088,no,no,yes
9039,no,no,yes
50011,no,no,yes
68012,no,no,yes
29010,no,no,yes
5054,no,no,yes
61053,no,no,yes
64024,no,no,yes
88506,no,no,yes
19061,no,no,yes
88164,no,no,yes
96024,no,no,yes
96058,no,no,yes
19006,no,no,yes
61033,no,no,yes
88425,no,no,yes
91009,no,no,yes
73101,no,no,yes
45144,no,no,yes
88337,no,no,yes
88482,no,no,yes
73037,no,no,yes
45084,no,no,yes
88172,no,no,yes
88241,no,no,yes
64016,no,no,yes
91018,no,no,yes
88501,no,no,yes
78004,no,no,yes
88354,no,no,yes
92016,no,no,yes
29126,no,no,yes
29050,no,no,yes
61009,no,no,yes
88356,no,no,yes
96063,no,no,yes
8014,no,no,yes
45014,no,no,yes
96017,no,no,yes
88101,no,no,yes
64009,no,no,yes
45096,no,no,yes
73090,no,no,yes
88430,no,no,yes
29142,no,no,yes
29113,no,no,yes
54047,no,no,yes
45047,no,no,yes
61060,no,no,yes
5008,no,no,yes
29118,no,no,yes
73013,no,no,yes
88424,no,no,yes
45004,no,no,yes
88048,no,no,yes
54006,no,no,yes
91029,no,no,yes
88473,no,no,yes
19008,no,no,yes
88386,no,no,yes
73091,no,no,yes
92030,no,no,yes
88505,no,no,yes
45056,no,no,yes
73011,no,no,yes
88234,no,no,yes
19055,no,no,yes
29081,no,no,yes
45007,no,no,yes
88045,no,no,yes
73097,no,no,yes
88128,no,no,yes
88275,no,no,yes
73041,no,no,yes
73083,no,no,yes
54032,no,no,yes
29007,no,no,yes
91006,no,no,yes
88021,no,no,yes
96002,no,no,yes
5009,no,no,yes
19004,no,no,yes
88194,no,no,yes
78013,no,no,yes
88199,no,no,yes
19014,no,no,yes
88359,no,no,yes
96031,no,no,yes
54020,no,no,yes
61087,no,no,yes
88333,no,no,yes
96001,no,no,yes
45057,no,no,yes
88058,no,no,yes
88152,no,no,yes
73081,no,no,yes
88081,no,no,yes
88314,no,no,yes
73068,no,no,yes
88005,no,no,yes
5029,no,no,yes
88131,no,no,yes
88305,no,no,yes
29079,no,no,yes
96049,no,no,yes
45052,no,no,yes
45136,no,no,yes
88449,no,no,yes
73042,no,no,yes
73104,no,no,yes
54002,no,no,yes
88264,no,no,yes
88215,no,no,yes
73115,no,no,yes
8029,no,no,yes
5053,no,no,yes
29067,no,no,yes
8059,no,no,yes
19064,no,no,yes
45059,no,no,yes
62050,no,no,yes
88411,no,no,yes
29018,no,no,yes
19013,no,no,yes
5065,no,no,yes
73059,no,no,yes
88402,no,no,yes
62036,no,no,yes
54053,no,no,yes
73074,no,no,yes
88263,no,no,yes
92061,no,no,yes
29108,no,no,yes
29112,no,no,yes
45133,no,no,yes
73009,no,no,yes
62040,no,no,yes
5044,no,no,yes
88056,no,no,yes
88285,no,no,yes
54052,no,no,yes
5069,no,no,yes
73022,no,no,yes
73058,no,no,yes
45116,no,no,yes
88188,no,no,yes
92026,no,no,yes
73071,no,no,yes
29003,no,no,yes
29122,no,no,yes
45111,no,no,yes
8032,no,no,yes
91025,no,no,yes
61052,no,no,yes
92062,no,no,yes
45137,no,no,yes
88052,no,no,yes
29058,no,no,yes
96032,no,no,yes
88049,no,no,yes
29116,no,no,yes
8027,no,no,yes
92039,no,no,yes
45016,no,no,yes
64027,no,no,yes
88211,no,no,yes
88253,no,no,yes
73096,no,no,yes
29011,no,no,yes
73102,no,no,yes
88447,no,no,yes
88334,no,no,yes
88268,no,no,yes
96016,no,no,yes
54021,no,no,yes
73016,no,no,yes
54031,no,no,yes
45138,no,no,yes
29055,no,no,yes
88282,no,no,yes
88553,no,no,yes
29032,no,no,yes
92055,no,no,yes
96047,no,no,yes
61002,no,no,yes
61016,no,no,yes
8005,no,no,yes
62021,no,no,yes
19046,no,no,yes
88394,no,no,yes
88435,no,no,yes
88179,no,no,yes
45013,no,no,yes
8047,no,no,yes
29063,no,no,yes
96022,no,no,yes
54010,no,no,yes
5045,no,no,yes
45048,no,no,yes
88180,no,no,yes
45022,no,no,yes
8012,no,no,yes
8060,no,no,yes
96019,no,no,yes
88383,no,no,yes
54018,no,no,yes
45130,no,no,yes
54008,no,no,yes
88353,no,no,yes
88016,no,no,yes
5076,no,no,yes
92025,no,no,yes
88422,no,no,yes
88458,no,no,yes
61005,no,no,yes
8068,no,no,yes
61036,no,no,yes
29001,no,no,yes
88301,no,no,yes
78009,no,no,yes
45018,no,no,yes
61024,no,no,yes
5055,no,no,yes
29068,no,no,yes
54069,no,no,yes
88330,no,no,yes
29070,no,no,yes
91017,no,no,yes
8056,no,no,yes
88115,no,no,yes
96040,no,no,yes
62039,no,no,yes
61083,no,no,yes
73012,no,no,yes
73028,no,no,yes
29097,no,no,yes
73035,no,no,yes
78019,no,no,yes
92018,no,no,yes
92053,no,no,yes
88165,no,no,yes
73099,no,no,yes
50133,no,no,yes
54019,no,no,yes
54044,no,no,yes
80183,no,no,yes
